ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
210	16:59:30:438	Tomm	clay=0; ore=0; sheep=2; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	It's okay Dave,& so did I.	 	 
211	17:00:30:413	Server	 		Tomm rolled a 3 and a 4.	 	 
212	17:00:35:208	Dave	clay=0; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=2	roads=[100,171; 171,170; 170,154]; settlements=[116,171]	really	 	 
213	17:00:36:415	Tomm	clay=0; ore=0; sheep=2; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	oh...	 	 
214	17:00:37:847	Dave	clay=0; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=2	roads=[100,171; 171,170; 170,154]; settlements=[116,171]	reallllly	 	 
215	17:00:50:662	Tomm	clay=0; ore=0; sheep=3; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	Oh great.& Sheep.& Don't have any of those.	 	 
216	17:01:00:521	Server	 		rennoc1 rolled a 3 and a 2.	 	 
217	17:01:00:526	Server	 		rennoc1 gets 2 clay. Dave gets 1 wheat.	 	 
218	17:01:02:008	Dave	clay=0; ore=0; sheep=0; wheat=2; wood=0; unknown=0; knights=0; dev-cards=2	roads=[100,171; 171,170; 170,154]; settlements=[116,171]	that was my favourite sheep!	 	 
219	17:01:20:347	Tomm	clay=0; ore=0; sheep=3; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	Worrying...& >.>	 	 
220	17:01:38:951	Server	 		Dave rolled a 2 and a 4.	 	 
221	17:01:38:955	Server	 		rennoc1 gets 1 sheep. Tomm gets 1 sheep.	 	 
222	17:02:05:798	Tomm	clay=0; ore=0; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	Sorry,& what did you roll Rennoc?	 	 
223	17:02:24:123	rennoc1	clay=2; ore=0; sheep=2; wheat=0; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120; 120,88]; settlements=[105,137]	a 5 ( I think)	 	 
224	17:02:48:084	Server	 		Tomm rolled a 1 and a 3.	 	 
225	17:02:48:089	Server	 		rennoc1 gets 1 clay. Dave gets 1 clay. Tomm gets 1 ore.	 	 
226	17:02:58:399	Tomm	clay=0; ore=1; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	ORE!& :D	 	 
227	17:03:04:904	Tomm	clay=0; ore=1; sheep=4; wheat=2; wood=0; unknown=0; knights=1; dev-cards=1	roads=[69,86; 86,70]; settlements=[69,103]	Also... you're all gonna hate me	 	 
228	17:03:17:180	Dave	clay=0; ore=0; sheep=0; wheat=2; wood=0; unknown=0; knights=0; dev-cards=2	roads=[100,171; 171,170; 170,154]; settlements=[116,171]	oh no	 	 
