ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
258	14:52:10:200	william	clay=2; ore=2; sheep=0; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	have none	 	 
259	14:52:13:451	Thomas	clay=0; ore=5; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[68,104; 104,105; 105,122]	kk	 	 
260	14:52:15:532	Cat	clay=0; ore=1; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	no sheep	 	 
261	14:52:22:065	Server	 		william rolled a 6 and a 2.	 	 
262	14:52:22:067	Server	 		Thomas gets 2 ore. william gets 2 ore, 2 wheat.	 	 
263	14:52:37:334	william	clay=2; ore=4; sheep=0; wheat=5; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	does anyone need ore or wheat?	 	 
264	14:52:48:506	Thomas	clay=0; ore=7; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[68,104; 104,105; 105,122]	no & thanks		
265	14:52:55:872	Cat	clay=0; ore=1; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	wheat	 	 
266	14:53:02:103	william	clay=2; ore=4; sheep=0; wheat=5; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	can you give me sheep or wood?	 	 
267	14:53:04:799	Cat	clay=0; ore=1; sheep=0; wheat=0; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	I can give you one wood	 	 
268	14:53:12:015	william	clay=2; ore=4; sheep=0; wheat=5; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	k	 	 
269	14:53:20:097	Server	 		william made an offer to trade 1 wheat for 1 wood.	 	 
270	14:53:22:829	Server	 		william traded 1 wheat for 1 wood from Cat.	 	 
271	14:53:38:497	Server	 		william traded 4 ore for 1 sheep from the bank.	 	 
272	14:53:42:039	Server	 		william built a settlement.	 	 
273	14:53:49:917	Server	 		Cat rolled a 5 and a 1.	 	 
274	14:53:49:919	Server	 		Thomas gets 1 ore. Cat gets 1 ore.	 	 
275	14:54:28:282	Cat	clay=0; ore=2; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	anyone for ore?	 	 
276	14:54:33:239	Cat	clay=0; ore=2; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	I'd like clay	 	 
277	14:54:37:531	Thomas	clay=0; ore=8; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[68,104; 104,105; 105,122]	sorry	 	 
278	14:54:37:639	william	clay=1; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	sry	 	 
279	14:54:37:647	Cat	clay=0; ore=2; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	or sheep	 	 
280	14:54:42:566	william	clay=1; ore=0; sheep=0; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101; 101,188]; cities=[116,171; 171,118]	nope	 	 
281	14:54:49:232	Thomas	clay=0; ore=8; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=0	roads=[68,104; 104,105; 105,122]	can't	 	 
282	14:54:57:238	Server	 		Thomas rolled a 3 and a 5.	 	 
