ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
95	16:41:03:760	Dave	clay=1; ore=1; sheep=1; wheat=2; wood=1; unknown=0; knights=0; dev-cards=0	roads=[100,171]; settlements=[116,171]	:D	 	 
96	16:42:40:476	Tomm	clay=1; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[69,86]; settlements=[69,103]	Oh... &well that's unkind	 	 
97	16:42:44:103	Server	 		Dave built a road.	 	 
98	16:42:54:307	Dave	clay=0; ore=1; sheep=1; wheat=3; wood=0; unknown=0; knights=0; dev-cards=0	roads=[100,171; 171,170]; settlements=[116,171]	sorry	 	 
99	16:43:00:770	Tomm	clay=1; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[69,86]; settlements=[69,103]	It's okay,& name of the game and all that.	 	 
100	16:43:11:667	Tomm	clay=1; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[69,86]; settlements=[69,103]	Do you get a random one of my resources then?	 	 
101	16:43:11:915	Dave	clay=0; ore=1; sheep=1; wheat=3; wood=0; unknown=0; knights=0; dev-cards=0	roads=[100,171; 171,170]; settlements=[116,171]	anyone need wheat?	 	 
102	16:43:16:059	Dave	clay=0; ore=1; sheep=1; wheat=3; wood=0; unknown=0; knights=0; dev-cards=0	roads=[100,171; 171,170]; settlements=[116,171]	I did, yeah	 	 
103	16:43:20:460	Tomm	clay=1; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[69,86]; settlements=[69,103]	no thanks	 	 
104	16:43:25:020	Dave	clay=0; ore=1; sheep=1; wheat=3; wood=0; unknown=0; knights=0; dev-cards=0	roads=[100,171; 171,170]; settlements=[116,171]	rennoc?	 	 
105	16:43:27:515	rennoc1	clay=2; ore=0; sheep=1; wheat=2; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120]; settlements=[105,137]	i'm ok for now	 	 
106	16:44:35:101	Server	 		Tomm rolled a 4 and a 3.	 	 
107	16:44:54:054	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	aww	 	 
108	16:44:57:121	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	well that was robbery	 	 
109	16:45:04:550	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	does the robber do anything& after you put him & and before he's moved	 	 
110	16:45:14:631	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	like, if that resource comes up& will you not get it or something?	 	 
111	16:45:17:642	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	When he is in a hex& you can't get resources	 	 
112	16:45:24:247	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	ah	 	 
113	16:45:27:892	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=0; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	yeah,& so 8 won't get you wheat now	 	 
114	16:45:41:390	Server	 		rennoc1 rolled a 3 and a 5.	 	 
115	16:45:41:395	Server	 		Tomm gets 1 wood.	 	 
116	16:46:06:486	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	I wasn't expected to roll 7 to be honest& :p	 	 
117	16:46:20:216	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	I thought you got to move the robber& because you played a car?	 	 
118	16:46:22:168	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	*card	 	 
119	16:46:32:295	rennoc1	clay=2; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120]; settlements=[105,137]	any got any wood they can trade	 	 
120	16:46:40:993	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	Nope	 	 
121	16:46:44:345	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	I played the card,& moved the robber& and THEN rolled a 7 as well	 	 
122	16:46:48:654	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	so I moved him twice	 	 
123	16:46:49:369	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	aah	 	 
124	16:46:51:280	Dave	clay=0; ore=0; sheep=0; wheat=1; wood=0; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	that sucks	 	 
125	16:46:53:890	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	and I've only got 1,& sorry.	 	 
126	16:47:10:216	rennoc1	clay=2; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120]; settlements=[105,137]	ok	 	 
127	16:47:16:487	Server	 		Dave rolled a 6 and a 4.	 	 
128	16:47:16:492	Server	 		Dave gets 1 ore, 1 wood.	 	 
129	16:47:42:194	Dave	clay=0; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	anyone need ore?	 	 
130	16:47:46:024	rennoc1	clay=2; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120]; settlements=[105,137]	yep	 	 
131	16:47:49:179	Dave	clay=0; ore=1; sheep=0; wheat=1; wood=1; unknown=0; knights=0; dev-cards=1	roads=[100,171; 171,170]; settlements=[116,171]	willing to trade for clay and sheep	 	 
132	16:47:49:555	Tomm	clay=1; ore=0; sheep=1; wheat=3; wood=1; unknown=0; knights=1; dev-cards=0	roads=[69,86]; settlements=[69,103]	what for?	 	 
133	16:47:58:544	rennoc1	clay=2; ore=0; sheep=1; wheat=1; wood=0; unknown=0; knights=0; dev-cards=0	roads=[104,120]; settlements=[105,137]	got some clay.	 	 
