ID	Timestamp	Emitter	Resources	Buildups	Text	Annotation	Comment
180	14:39:10:240	Cat	clay=0; ore=2; sheep=0; wheat=2; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	anyone would like to give me an ore?	 	 
181	14:39:14:843	william	clay=1; ore=0; sheep=2; wheat=1; wood=2; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	cant	 	 
182	14:39:26:320	Thomas	clay=2; ore=2; sheep=0; wheat=3; wood=4; unknown=0; knights=0; dev-cards=0	roads=[68,104]; settlements=[84,105]	what for?	 	 
183	14:39:37:247	Cat	clay=0; ore=2; sheep=0; wheat=2; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	wood?	 	 
184	14:39:40:203	Thomas	clay=2; ore=2; sheep=0; wheat=3; wood=4; unknown=0; knights=0; dev-cards=0	roads=[68,104]; settlements=[84,105]	no & thanks	 	 
185	14:39:52:799	Server	 		Thomas rolled a 6 and a 6.	 	 
186	14:39:52:801	Server	 		Cat gets 1 wood.	 	 
187	14:40:35:668	william	clay=1; ore=0; sheep=2; wheat=1; wood=2; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	well?	 	 
188	14:40:39:436	Server	 		william rolled a 2 and a 1.	 	 
189	14:40:39:437	Server	 		Thomas gets 1 wood. william gets 2 wood.	 	 
190	14:40:51:997	Server	 		william built a settlement.	 	 
191	14:41:02:515	Server	 		Cat rolled a 5 and a 3.	 	 
192	14:41:02:517	Server	 		Thomas gets 1 ore. william gets 2 ore, 2 wheat.	 	 
193	14:41:24:226	Cat	clay=0; ore=2; sheep=0; wheat=2; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	anyone can give me ore? & (for wood)	 	 
194	14:41:29:051	Thomas	clay=2; ore=3; sheep=0; wheat=3; wood=5; unknown=0; knights=0; dev-cards=0	roads=[68,104]; settlements=[84,105]	no	 	 
195	14:41:52:875	Server	 		Thomas rolled a 3 and a 4.	 	 
196	14:42:54:280	Server	 		Thomas built a city.	 	 
197	14:43:01:532	Server	 		william rolled a 4 and a 1.	 	 
198	14:43:01:534	Server	 		Thomas gets 1 wheat. william gets 2 clay. Cat gets 1 wheat.	 	 
199	14:43:13:818	Server	 		Cat rolled a 2 and a 1.	 	 
200	14:43:13:819	Server	 		Thomas gets 2 wood. william gets 3 wood.	 	 
201	14:43:50:479	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	where do i see what i rolled?	 	 
202	14:43:55:642	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	on the arrow	 	 
203	14:44:10:651	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	ok, & so if it had been 7 & i could move the robber		
204	14:44:20:818	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	and can i do other things depending on the numbers?	 	 
205	14:44:23:210	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	yup	 	 
206	14:44:30:372	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	ooops, & I didn't know	 	 
207	14:44:34:575	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	sorry, & which things?		
208	14:44:37:882	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	no every other number just produces ressources	 	 
209	14:44:46:584	Thomas	clay=2; ore=1; sheep=0; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[68,104]	robber is the only exception	 	 
210	14:44:50:665	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	ok, & so i don't need to play special actions	 	 
211	14:45:16:640	Cat	clay=0; ore=2; sheep=0; wheat=3; wood=3; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]; settlements=[137,71]	anyone would like to receive a wood for an ore?	 	 
212	14:45:19:202	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	no, dev. & cards are the only other special action	 	 
213	14:45:24:258	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	no	 	 
214	14:45:28:529	Thomas	clay=2; ore=1; sheep=0; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[68,104]	yes please	 	 
215	14:45:40:337	william	clay=2; ore=1; sheep=0; wheat=2; wood=3; unknown=0; knights=1; dev-cards=0	roads=[100,171; 171,101]; cities=[116,171]	i will take anyone's sheep though	 	 
216	14:45:56:928	Server	 		Cat made an offer to trade 1 wood for 1 ore.	 	 
217	14:46:07:450	Server	 		Cat traded 1 wood for 1 ore from Thomas.	 	 
218	14:46:19:464	Server	 		Cat built a city.	 	 
219	14:46:37:645	Cat	clay=0; ore=0; sheep=0; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	don't have a sheep	 	 
220	14:46:46:922	Thomas	clay=2; ore=0; sheep=0; wheat=1; wood=3; unknown=0; knights=0; dev-cards=0	roads=[68,104]	none here either	 	 
221	14:46:53:353	Cat	clay=0; ore=0; sheep=0; wheat=1; wood=2; unknown=0; knights=0; dev-cards=0	roads=[136,70; 70,152]	anyone wants wood?	 	 
222	14:47:01:801	Thomas	clay=2; ore=0; sheep=0; wheat=1; wood=3; unknown=0; knights=0; dev-cards=0	roads=[68,104]	n	 	 
